3,13,643.45,635.09,629.72,636.0866666667
9,3,647.4,636.09,633.58,639.0233333333
3,3,680.33,605.84,639.42,641.8633333333
13,3,667.49,634.93,635.53,645.9833333333
3,7,645.73,645.39,659.91,650.3433333333
1,3,652.76,660.01,641.04,651.27
3,9,680.35,666.91,615.73,654.33
3,10,662.44,648.81,652.35,654.5333333333
2,3,646.99,653.57,674.23,658.2633333333
3,14,650.07,653.57,674.82,659.4866666667
12,3,645.29,676.02,658.98,660.0966666667
4,3,642.55,646.7,692.91,660.72
3,0,689.09,639.69,653.56,660.78
6,3,690.22,647.2,650.52,662.6466666667
10,3,680.23,654.11,657.5,663.9466666667
7,3,635.14,658.72,702.06,665.3066666667
3,1,649.74,670.35,678.32,666.1366666667
8,3,683.7,649.72,670.19,667.87
14,3,648.46,682.49,674.51,668.4866666667
3,8,670.42,671.6,672.63,671.55
3,6,675.41,675.53,673.92,674.9533333333
3,11,680.38,683.93,662.62,675.6433333333
5,3,661.42,672.98,693.79,676.0633333333
11,3,707.12,679.75,641.52,676.13
3,2,691.18,692.4,646.4,676.66
3,5,654.93,673.04,702.56,676.8433333333
3,4,727.55,641.06,674.81,681.14
0,3,685.81,682.18,686.66,684.8833333333
3,12,702.87,672.89,689.11,688.29
13,4,703.59,716.05,722.93,714.19
8,13,782.14,748.1,658.37,729.5366666667
13,8,704.27,697.3,789.41,730.3266666667
4,13,675.99,760.75,758.81,731.85
10,1,730.98,763.01,732.49,742.16
1,10,757.81,720.44,768.61,748.9533333333
10,10,729.27,759.43,759.88,749.5266666667
10,13,714.78,791.38,744.47,750.21
10,4,757.42,750.53,751.81,753.2533333333
1,4,759.24,774.1,733.7,755.68
1,8,767.46,724.47,783.25,758.3933333333
4,8,731.59,787.55,757.81,758.9833333333
2,10,766.72,756.78,764.09,762.53
8,1,752.17,766.6,770.62,763.13
13,10,738.97,741.59,809.98,763.5133333333
8,8,766.77,754.33,776.37,765.8233333333
10,0,800.22,744.03,754.52,766.2566666667
10,2,768.46,810.9,721.97,767.11
8,7,776.79,724.59,814.69,772.0233333333
9,8,762.18,749.23,809.23,773.5466666667
0,8,764.9,825.7,730.62,773.74
10,7,781.7,775.25,765.24,774.0633333333
10,8,797.93,760.64,776.77,778.4466666667
8,14,798.12,779.8,761.04,779.6533333333
4,1,783.78,791.32,764.17,779.7566666667
14,8,817.26,789.3,733.55,780.0366666667
8,10,755.62,776.08,811.61,781.1033333333
2,8,755.88,794.06,798.9,782.9466666667
7,8,761.23,801.68,791.7,784.87
14,10,738.65,797.14,823.8,786.53
4,14,774.93,801.33,784.74,787
6,8,807.44,796.08,778.72,794.08
0,10,746.44,822.23,814.68,794.45
4,2,816.52,797.77,770.82,795.0366666667
4,10,807.73,800.76,777.47,795.32
10,6,802.29,803.01,781.46,795.5866666667
7,10,787.03,754.8,847.12,796.3166666667
4,9,791.42,779.07,818.76,796.4166666667
8,0,786.73,775.32,827.69,796.58
10,14,799,814.82,776.23,796.6833333333
8,2,800.57,802.35,789.03,797.3166666667
8,4,786.49,809.5,798.33,798.1066666667
10,5,796.31,800.63,813.58,803.5066666667
5,10,754.55,849.26,818.18,807.33
11,10,842.01,775.11,817.89,811.67
11,8,800.08,848.82,787.6,812.1666666667
4,4,804.63,791.4,845.75,813.9266666667
8,5,832.88,808.84,806.59,816.1033333333
9,10,779.45,824.5,848.49,817.48
6,10,854.39,763.86,838.49,818.9133333333
0,4,798.04,846.42,815.36,819.94
2,4,803.51,844.95,822.87,823.7766666667
12,8,861.54,845.02,776.03,827.53
12,10,812.82,853.68,830.65,832.3833333333
10,9,803.37,853.69,848.13,835.0633333333
8,6,801.58,826.74,881.07,836.4633333333
4,0,853.03,850.12,809.2,837.45
8,9,861.36,797.26,856.96,838.5266666667
14,4,781.63,886.26,849.13,839.0066666667
9,4,855.98,821,842.97,839.9833333333
6,4,814.41,897.85,820.29,844.1833333333
7,4,898.67,832.84,803.58,845.03
5,4,839.8,856.13,845.6,847.1766666667
4,6,824.65,861.88,855.64,847.39
5,8,881.12,870.74,806.27,852.71
10,12,855.37,879.6,824,852.99
12,4,882.37,854.3,827.44,854.7033333333
11,4,855.71,857.38,851.04,854.71
8,12,861.05,903.03,802.63,855.57
10,11,884.46,852.85,834.86,857.39
4,7,842.99,868.45,862.34,857.9266666667
13,2,914.02,789.25,889.07,864.1133333333
4,11,847.38,852.61,896.22,865.4033333333
4,5,860.1,871.54,866.52,866.0533333333
8,11,831.4,850.39,919.19,866.9933333333
4,12,823.73,867.34,934.68,875.25
2,13,918.18,912.12,835.57,888.6233333333
13,1,1020.17,924.9,905.07,950.0466666667
1,13,982.43,922.96,961.23,955.54
14,13,957.91,996.68,977.97,977.52
13,6,1007.03,994.08,960.9,987.3366666667
13,14,992.29,953.62,1033.12,993.01
1,14,965.42,1019.58,1017.75,1000.9166666667
1,2,1049.47,1002.44,955.61,1002.5066666667
6,13,1002.09,950.01,1071.5,1007.8666666667
14,2,997.72,1088.28,977.89,1021.2966666667
5,13,1054.41,970.25,1039.9,1021.52
9,1,980.27,1091.04,1027.21,1032.84
14,1,975.94,1040.14,1088.36,1034.8133333333
1,12,1029.48,1114.73,988.66,1044.29
2,6,949.4,1012.52,1259.19,1073.7033333333
13,0,988.59,1148.88,1086.12,1074.53
11,1,1053.13,1039.68,1134.38,1075.73
2,5,1138.57,1053.04,1040.64,1077.4166666667
5,2,1117.86,1045.35,1076.86,1080.0233333333
12,1,1173.77,1037.07,1044.36,1085.0666666667
2,11,1078.7,1073.29,1105.14,1085.71
0,2,1038.92,1189.33,1063.99,1097.4133333333
6,1,1048.94,1147.84,1099.17,1098.65
14,7,1038.61,1146.1,1120.06,1101.59
1,11,1090.52,1140.34,1083.14,1104.6666666667
2,1,1081.43,1218.49,1015.67,1105.1966666667
6,2,1085.38,1145.98,1092.85,1108.07
1,6,1106.19,1113.14,1106.93,1108.7533333333
14,6,1117.2,1101.36,1109.87,1109.4766666667
1,1,1065.76,1141.58,1128.76,1112.0333333333
13,7,1092.06,1154.67,1097.27,1114.6666666667
13,11,1121.8,1118.04,1108.59,1116.1433333333
13,5,1105.11,1001.08,1243.58,1116.59
1,5,1086.71,1198.32,1065.89,1116.9733333333
6,14,1071.09,1171.1,1109.28,1117.1566666667
2,12,1093.42,1143.55,1129.09,1122.02
7,2,1142.14,1014.04,1210.33,1122.17
1,9,1025.99,1186.06,1155.58,1122.5433333333
7,13,1023.48,1076.81,1268.17,1122.82
13,13,1184.34,1142.05,1045.32,1123.9033333333
0,13,1061.73,1168.16,1144.58,1124.8233333333
14,14,1162.12,1152.21,1067.67,1127.3333333333
6,6,1166.19,1122.8,1094.27,1127.7533333333
9,14,1136.43,1167.73,1085.16,1129.7733333333
14,5,1233.2,1052.22,1105.82,1130.4133333333
2,14,1140.23,1142.22,1111.24,1131.23
2,2,1131.28,1153.2,1110.82,1131.7666666667
12,2,1152.55,1207.41,1038.11,1132.69
0,1,1178.5,1164.78,1059.43,1134.2366666667
1,0,1039.56,1053.5,1317.1,1136.72
14,0,1151.14,1087.02,1174.22,1137.46
12,13,1082.12,1198.53,1147.06,1142.57
2,9,1247.3,1080.15,1100.37,1142.6066666667
13,12,1083.42,1192.74,1159.79,1145.3166666667
11,13,1038.3,1191.88,1215.49,1148.5566666667
5,1,1224.81,1113.86,1107.31,1148.66
2,0,1320.31,1131.1,998.24,1149.8833333333
11,14,1119.64,1193.41,1172.89,1161.98
1,7,1066.33,1237.07,1188.54,1163.98
9,2,1154.46,1206.95,1133.93,1165.1133333333
5,6,1223.27,1174.62,1100.35,1166.08
7,1,1228.86,1121.24,1182.12,1177.4066666667
11,2,1145.44,1286.93,1102.9,1178.4233333333
9,13,1206.33,1307.16,1037.7,1183.73
7,14,1157.6,1269.09,1147.84,1191.51
13,9,1133.23,1231.48,1225.72,1196.81
5,14,1265.4,1164.6,1162.28,1197.4266666667
0,14,1136.08,1166.17,1291.17,1197.8066666667
12,14,1213.9,1210.91,1199.67,1208.16
2,7,1251.12,1239.96,1151.49,1214.19
14,11,1186.87,1186.61,1274.89,1216.1233333333
6,5,1321.31,1180.74,1182.27,1228.1066666667
6,11,1181.08,1276.36,1244.32,1233.92
5,5,1224.39,1258.6,1234.02,1239.0033333333
14,9,1270.34,1271.04,1193.61,1244.9966666667
6,7,1228.11,1251.19,1289.52,1256.2733333333
0,6,1208.69,1280.33,1287.25,1258.7566666667
5,11,1189.9,1300.65,1316.12,1268.89
6,0,1203.37,1254.86,1353.64,1270.6233333333
9,6,1262.2,1337.41,1230.5,1276.7033333333
14,12,1349.25,1315.19,1166.15,1276.8633333333
5,9,1325.88,1240.1,1275.69,1280.5566666667
12,6,1328.87,1277.71,1257.14,1287.9066666667
6,9,1322.78,1241.49,1322.12,1295.4633333333
6,12,1367.31,1207.81,1340.67,1305.2633333333
7,6,1250.01,1272.7,1410.6,1311.1033333333
11,5,1223.01,1301.02,1414.11,1312.7133333333
0,11,1414.78,1307.9,1228.94,1317.2066666667
0,5,1328.29,1372.5,1262.07,1320.9533333333
5,0,1370.88,1338.61,1284.69,1331.3933333333
11,11,1230.49,1379.35,1390.92,1333.5866666667
11,6,1294.99,1407.7,1304.33,1335.6733333333
12,11,1398.72,1353.78,1302.41,1351.6366666667
11,0,1254.74,1434.97,1414.37,1368.0266666667
11,7,1318.5,1380.95,1457.46,1385.6366666667
5,12,1504.94,1342.05,1315.14,1387.3766666667
12,5,1375.88,1422.54,1369.77,1389.3966666667
9,5,1416.66,1442.29,1365.6,1408.1833333333
11,9,1434.28,1444.66,1406.5,1428.48
5,7,1440.52,1456.19,1407.72,1434.81
9,0,1423.32,1483.82,1435.42,1447.52
9,12,1434.71,1478.58,1472.82,1462.0366666667
7,11,1551.46,1418.59,1416.29,1462.1133333333
9,9,1457.81,1355.07,1579.4,1464.0933333333
9,11,1587.27,1476.87,1411.54,1491.8933333333
0,12,1390.57,1550.95,1543.52,1495.0133333333
12,0,1615.97,1445.99,1429.67,1497.21
7,5,1480.65,1534.89,1478.75,1498.0966666667
12,7,1536.36,1400.52,1557.7,1498.1933333333
12,12,1497.97,1497.1,1550.05,1515.04
11,12,1530.71,1511.12,1509.17,1517
12,9,1463.26,1518.71,1591.52,1524.4966666667
0,9,1510.24,1643.74,1445.45,1533.1433333333
7,0,1430.42,1568.63,1614.09,1537.7133333333
0,0,1481.05,1709.04,1423.85,1537.98
7,9,1608.57,1452.44,1554.62,1538.5433333333
7,12,1662.98,1640,1477.11,1593.3633333333
9,7,1544.39,1710.17,1627.12,1627.2266666667
7,7,1573.15,1726.14,1703.22,1667.5033333333
0,7,1705.53,1670.92,1772.87,1716.44
